State,Administered,Percentage ,id,Popu,less18per,f18t29per,f30t39per,f40t49per,f50t64per,f65t74per,f75pper,less18,f18t29,f30t39,f40t49,f50t64,f65t74,f75p,less18D1per,f18t29D1per,f30t39D1per,f40t49D1per,f50t64D1per,f65t74D1per,f75pD1per,less18D1,f18t29D1,f30t39D1,f40t49D1,f50t64D1,f65t74D1,f75pD1,less18D2per,f18t29D2per,f30t39D2per,f40t49D2per,f50t64D2per,f65t74D2per,f75pD2per,less18D2,f18t29D2,f30t39D2,f40t49D2,f50t64D2,f65t74D2,f75pD2
New York,3253874,16.82738,36,"1,93,36,776",0.00059,0.070781093,0.104776961,0.1091989,0.190017849,0.250016145,0.274613168,1919.78566,230312.7582,340931.0295,355319.4625,618294.1387,813521.0351,893556.6464,0.76,0.63,0.61,0.62,0.64,0.72,0.67,1459.037102,145097.0377,207967.928,220298.0668,395708.2488,585735.1453,598682.9531,0.24,0.37,0.39,0.38,0.36,0.28,0.33,460.7485584,85215.72054,132963.1015,135021.3958,222585.8899,227785.8898,294873.6933
North Carolina,1782267,16.99325635,37,10488084,0.00059,0.070781093,0.104776961,0.1091989,0.190017849,0.250016145,0.274613168,1051.53753,126150.8063,186740.5201,194621.5964,338662.5419,445595.5254,489433.9866,0.76,0.63,0.61,0.62,0.64,0.72,0.67,799.1685228,79475.00796,113911.7173,120665.3898,216744.0268,320828.7783,327920.771,0.24,0.37,0.39,0.38,0.36,0.28,0.33,252.3690072,46675.79832,72828.80285,73956.20665,121918.5151,124766.7471,161513.2156
North Dakota,156751,20.56932376,38,762062,0.00059,0.070781093,0.104776961,0.1091989,0.190017849,0.250016145,0.274613168,92.48309,11095.00711,16423.89343,17117.03682,29785.48786,39190.28081,43045.88865,0.76,0.63,0.61,0.62,0.64,0.72,0.67,70.2871484,6989.854479,10018.57499,10612.56283,19062.71223,28217.00218,28840.7454,0.24,0.37,0.39,0.38,0.36,0.28,0.33,22.1959416,4105.15263,6405.318437,6504.473992,10722.77563,10973.27863,14205.14325
Ohio,1861434,15.92452798,39,11689100,0.00059,0.070781093,0.104776961,0.1091989,0.190017849,0.250016145,0.274613168,1098.24606,131754.3331,195035.3978,203266.5458,353705.6849,465388.5536,511174.2872,0.76,0.63,0.61,0.62,0.64,0.72,0.67,834.6670056,83005.22983,118971.5927,126025.2584,226371.6383,335079.7586,342486.7724,0.24,0.37,0.39,0.38,0.36,0.28,0.33,263.5790544,48749.10323,76063.80515,77241.2874,127334.0466,130308.795,168687.5148
Oklahoma,700440,17.70141859,40,3956971,0.00059,0.070781093,0.104776961,0.1091989,0.190017849,0.250016145,0.274613168,413.2596,49577.90878,73389.97463,76487.27773,133096.1022,175121.3089,192350.0472,0.76,0.63,0.61,0.62,0.64,0.72,0.67,314.077296,31234.08253,44767.88453,47422.11219,85181.50542,126087.3424,128874.5316,0.24,0.37,0.39,0.38,0.36,0.28,0.33,99.182304,18343.82625,28622.09011,29065.16554,47914.5968,49033.96649,63475.51557
Oregon,708570,16.79976727,41,4217737,0.00059,0.070781093,0.104776961,0.1091989,0.190017849,0.250016145,0.274613168,418.0563,50153.35907,74241.81133,77375.06479,134640.9473,177153.9401,194582.6522,0.76,0.63,0.61,0.62,0.64,0.72,0.67,317.722788,31596.61621,45287.50491,47972.54017,86170.2063,127550.8369,130370.377,0.24,0.37,0.39,0.38,0.36,0.28,0.33,100.333512,18556.74285,28954.30642,29402.52462,48470.74104,49603.10324,64212.27524
Pennsylvania,2002786,15.64433464,42,12801989,0.00059,0.070781093,0.104776961,0.1091989,0.190017849,0.250016145,0.274613168,1181.64374,141759.3821,209845.8308,218702.0287,380565.0879,500728.8358,549991.4077,0.76,0.63,0.61,0.62,0.64,0.72,0.67,898.0492424,89308.41074,128005.9568,135595.2578,243561.6563,360524.7618,368494.2431,0.24,0.37,0.39,0.38,0.36,0.28,0.33,283.5944976,52450.97139,81839.87402,83106.77092,137003.4317,140204.074,181497.1645
Rhode Island,159931,15.09693107,44,1059361,0.00059,0.070781093,0.104776961,0.1091989,0.190017849,0.250016145,0.274613168,94.35929,11320.09098,16757.08417,17464.28932,30389.74462,39985.33215,43919.15852,0.76,0.63,0.61,0.62,0.64,0.72,0.67,71.7130604,7131.65732,10221.82134,10827.85938,19449.43656,28789.43915,29425.83621,0.24,0.37,0.39,0.38,0.36,0.28,0.33,22.6462296,4188.433664,6535.262825,6636.429943,10940.30806,11195.893,14493.32231
South Carolina,778113,15.11276408,45,5148714,0.00059,0.070781093,0.104776961,0.1091989,0.190017849,0.250016145,0.274613168,459.08667,55075.68862,81528.31553,84969.08391,147855.3586,194540.8129,213680.0758,0.76,0.63,0.61,0.62,0.64,0.72,0.67,348.9058692,34697.68383,49732.27247,52680.83202,94627.42951,140069.3853,143165.6508,0.24,0.37,0.39,0.38,0.36,0.28,0.33,110.1808008,20378.00479,31796.04306,32288.25189,53227.9291,54471.42762,70514.425
South Dakota,171175,19.34926339,46,884659,0.00059,0.070781093,0.104776961,0.1091989,0.190017849,0.250016145,0.274613168,100.99325,12115.95359,17935.19632,18692.12176,32526.30532,42796.51369,47006.90898,0.76,0.63,0.61,0.62,0.64,0.72,0.67,76.75487,7633.050764,10940.46975,11589.11549,20816.8354,30813.48986,31494.62902,0.24,0.37,0.39,0.38,0.36,0.28,0.33,24.23838,4482.90283,6994.726563,7103.006268,11709.46992,11983.02383,15512.27996
