State,Administered,Percentage ,id,Popu,Whiteper,Blackper,Hispanicper,Asianper,American Indian_AlaskaNativeper,Native Hawaiian_Pacific Islanderper,Otherper,White,Black,Hispanic,Asian,American Indian_AlaskaNative,Native Hawaiian_Pacific Islander,Other,WhiteD1per,BlackD1per,HispanicD1per,AsianD1per,American Indian_AlaskaNativeD1per,Native Hawaiian_Pacific IslanderD1per,OtherD1per,WhiteD1,BlackD1,HispanicD1,AsianD1,American Indian_AlaskaNativeD1,Native Hawaiian_Pacific IslanderD1,OtherD1,WhiteD2per,BlackD2per,HispanicD2per,AsianD2per,American Indian_AlaskaNativeD2per,Native Hawaiian_Pacific IslanderD2per,OtherD2per,WhiteD2,BlackD2,HispanicD2,AsianD2,American Indian_AlaskaNativeD2,Native Hawaiian_Pacific IslanderD2,OtherD2
North Dakota,156751,20.56932376,38,762062,0.653644605,0.064651112,0.082609858,0.047667292,0.017410539,0.02620246,0.131396347,102459.4455,10134.12646,12949.17786,7471.895625,2729.119472,4107.261745,20596.50885,0.69,0.66,0.67,0.68,0.69,0.66,0.67,70697.0174,6688.523464,8675.949166,5080.889025,1883.092436,2710.792752,13799.66093,0.31,0.34,0.33,0.32,0.31,0.34,0.33,31762.42811,3445.602996,4273.228694,2391.0066,846.0270363,1396.468993,6796.847921
Ohio,1861434,15.92452798,39,11689100,0.84,0.06,0.02,0.02,0.01,0.01,0.07,1563604.56,111686.04,37228.68,37228.68,18614.34,18614.34,130300.38,0.69,0.66,0.67,0.68,0.69,0.66,0.67,1078887.146,73712.7864,24943.2156,25315.5024,12843.8946,12285.4644,87301.2546,0.31,0.34,0.33,0.32,0.31,0.34,0.33,484717.4136,37973.2536,12285.4644,11913.1776,5770.4454,6328.8756,42999.1254
Oklahoma,700440,17.70141859,40,3956971,0.85,0.04,0.04,0.02,0.06,0.02620246,0.03,595374,28017.6,28017.6,14008.8,42026.4,18353.2508,21013.2,0.69,0.66,0.67,0.68,0.69,0.66,0.67,410808.06,18491.616,18771.792,9525.984,28998.216,12113.14553,14078.844,0.31,0.34,0.33,0.32,0.31,0.34,0.33,184565.94,9525.984,9245.808,4482.816,13028.184,6240.105272,6934.356
Oregon,708570,16.79976727,41,4217737,0.79,0.02,0.05,0.04,0.02,0.01,0.07,559770.3,14171.4,35428.5,28342.8,14171.4,7085.7,49599.9,0.69,0.66,0.67,0.68,0.69,0.66,0.67,386241.507,9353.124,23737.095,19273.104,9778.266,4676.562,33231.933,0.31,0.34,0.33,0.32,0.31,0.34,0.33,173528.793,4818.276,11691.405,9069.696,4393.134,2409.138,16367.967
Pennsylvania,2002786,15.64433464,42,12801989,0.89,0.03,0.02,0.01,0.01,0.01,0.07,1782479.54,60083.58,40055.72,20027.86,20027.86,20027.86,140195.02,0.69,0.66,0.67,0.68,0.69,0.66,0.67,1229910.883,39655.1628,26837.3324,13618.9448,13819.2234,13218.3876,93930.6634,0.31,0.34,0.33,0.32,0.31,0.34,0.33,552568.6574,20428.4172,13218.3876,6408.9152,6208.6366,6809.4724,46264.3566
Rhode Island,159931,15.09693107,44,1059361,0.79,0.04,0.09,0.02,0.01,0.01,0.06,126345.49,6397.24,14393.79,3198.62,1599.31,1599.31,9595.86,0.69,0.66,0.67,0.68,0.69,0.66,0.67,87178.3881,4222.1784,9643.8393,2175.0616,1103.5239,1055.5446,6429.2262,0.31,0.34,0.33,0.32,0.31,0.34,0.33,39167.1019,2175.0616,4749.9507,1023.5584,495.7861,543.7654,3166.6338
South Carolina,778113,15.11276408,45,5148714,0.69,0.15,0.02,0.047667292,0.017410539,0.02620246,0.16,536897.97,116716.95,15562.26,37090.53926,13547.3671,20388.47445,124498.08,0.69,0.66,0.67,0.68,0.69,0.66,0.67,370459.5993,77033.187,10426.7142,25221.5667,9347.683299,13456.39314,83413.7136,0.31,0.34,0.33,0.32,0.31,0.34,0.33,166438.3707,39683.763,5135.5458,11868.97256,4199.683801,6932.081313,41084.3664
South Dakota,171175,19.34926339,46,884659,0.653644605,0.064651112,0.082609858,0.047667292,0.017410539,0.02620246,0.131396347,111887.6153,11066.6541,14140.74246,8159.448639,2980.249094,4485.206022,22491.76977,0.69,0.66,0.67,0.68,0.69,0.66,0.67,77202.45456,7303.991706,9474.297448,5548.425075,2056.371875,2960.235975,15069.48575,0.31,0.34,0.33,0.32,0.31,0.34,0.33,34685.16074,3762.662394,4666.445012,2611.023564,923.8772191,1524.970047,7422.284024
Tennessee,1014351,14.85320187,47,6829174,0.79,0.09,0.02,0.01,0.017410539,0.02620246,0.11,801337.29,91291.59,20287.02,10143.51,17660.39812,26578.4911,111578.61,0.69,0.66,0.67,0.68,0.69,0.66,0.67,552922.7301,60252.4494,13592.3034,6897.5868,12185.6747,17541.80413,74757.6687,0.31,0.34,0.33,0.32,0.31,0.34,0.33,248414.5599,31039.1406,6694.7166,3245.9232,5474.723417,9036.686974,36820.9413
Texas,4333726,14.94600561,48,28995881,0.51,0.07,0.23,0.07,0.017410539,0.02620246,0.12,2210200.26,303360.82,996756.98,303360.82,75452.50758,113554.2804,520047.12,0.69,0.66,0.67,0.68,0.69,0.66,0.67,1525038.179,200218.1412,667827.1766,206285.3576,52062.23023,74945.82506,348431.5704,0.31,0.34,0.33,0.32,0.31,0.34,0.33,685162.0806,103142.6788,328929.8034,97075.4624,23390.27735,38608.45534,171615.5496
